"Date","Time","Description"
"2024-12-28","21:11:13","User 'as699' exists. Updating the account."
"2024-12-28","21:11:13","Set Full control permissiions for 'as699' on their home directory."
"2024-12-28","21:11:13","Creating new user 'rob'."
"2024-12-28","21:11:13","User 'rob' created successfully."
"2024-12-28","21:11:13","Created Home directory for 'rob' at 'C:\Users\rob'."
"2024-12-28","21:11:13","Set Full control permissiions for 'rob' on their home directory."
"2024-12-28","21:11:13","Creating new user 'aayush'."
"2024-12-28","21:11:13","User 'aayush' created successfully."
"2024-12-28","21:11:13","Added 'aayush' to the 'Administrator' group."
"2024-12-28","21:11:13","Created Home directory for 'aayush' at 'C:\Users\aayush'."
"2024-12-28","21:11:13","Set Full control permissiions for 'aayush' on their home directory."
"2024-12-28","21:11:13","Creating new user 'atul'."
"2024-12-28","21:11:13","User 'atul' created successfully."
"2024-12-28","21:11:13","Created Home directory for 'atul' at 'C:\Users\atul'."
"2024-12-28","21:11:13","Set Full control permissiions for 'atul' on their home directory."
"2024-12-29","00:31:03","User 'as699' exists. Updating the account."
"2024-12-29","00:31:03","Set Full control permissiions for 'as699' on their home directory."
"2024-12-29","00:31:03","Creating new user 'rob'."
"2024-12-29","00:31:03","User 'rob' created successfully."
"2024-12-29","00:31:03","Created Home directory for 'rob' at 'C:\Users\rob'."
"2024-12-29","00:31:03","Set Full control permissiions for 'rob' on their home directory."
"2024-12-29","00:31:03","Creating new user 'aayush'."
"2024-12-29","00:31:03","User 'aayush' created successfully."
"2024-12-29","00:31:03","Added 'aayush' to the 'Administrator' group."
"2024-12-29","00:31:03","Created Home directory for 'aayush' at 'C:\Users\aayush'."
"2024-12-29","00:31:03","Set Full control permissiions for 'aayush' on their home directory."
"2024-12-29","00:31:03","Creating new user 'atul'."
"2024-12-29","00:31:03","User 'atul' created successfully."
"2024-12-29","00:31:03","Created Home directory for 'atul' at 'C:\Users\atul'."
"2024-12-29","00:31:03","Set Full control permissiions for 'atul' on their home directory."
